exp_id,timestamp,image_id,roi_x1,roi_y1,roi_x2,roi_y2,threshold_value,canny_low,canny_high,motion_threshold,min_area,cooldown_sec,brightness,blur_score,motion_score,event_type,note
exp_d629eaa7,2026-08-03T09:20:57,img_9f696b9617,,,,,80,80,160,25,800,1.0,156.73,159.64,0,IMAGE_QUALITY_OK,threshold_sweep thresh=80
exp_5e18bbac,2026-08-03T09:20:57,img_73fb58bc34,,,,,120,80,160,25,800,1.0,157.82,160.93,0,IMAGE_QUALITY_OK,threshold_sweep thresh=120
exp_f84e6632,2026-08-03T09:20:57,img_1486971a92,,,,,180,80,160,25,800,1.0,155.39,159.88,0,IMAGE_QUALITY_OK,threshold_sweep thresh=180
exp_cec362b8,2026-08-03T09:20:57,img_33d52f46b2,,,,,120,50,100,25,800,1.0,157.53,153.79,0,IMAGE_QUALITY_OK,canny_sweep 50/100
exp_4cdfbf78,2026-08-03T09:20:57,img_34941ac82e,,,,,120,80,160,25,800,1.0,157.67,161.67,0,IMAGE_QUALITY_OK,canny_sweep 80/160
exp_f250106a,2026-08-03T09:20:57,img_3744c961ca,,,,,120,150,250,25,800,1.0,156.5,154.06,0,IMAGE_QUALITY_OK,canny_sweep 150/250
exp_f66a1831,2026-08-03T09:20:59,img_770d1e8122,,,,,120,80,160,15,500,0,157.12,141.26,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=11, suppressed=False"
exp_920a6658,2026-08-03T09:21:00,img_8cd7f29ad4,,,,,120,80,160,25,800,1,157.12,141.26,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=11, suppressed=False"
exp_55efc5df,2026-08-03T09:21:01,img_63bf4e7b1c,,,,,120,80,160,40,1500,5,157.25,148.23,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=12, suppressed=False"
exp_af82f8a9,2026-08-03T11:14:43,img_3b5ae0b328,,,,,120,80,160,0,0,0,160.33,243.99,0,IMAGE_QUALITY_OK,snapshot
exp_5992ab79,2026-08-03T11:14:48,img_9fe317b515,,,,,120,80,160,0,0,0,107.15,534.12,0,IMAGE_QUALITY_OK,snapshot
exp_f8a341a0,2026-08-03T11:16:23,img_f8c6f13d38,,,,,120,80,160,25,800,1.0,156.73,159.64,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=90, suppressed=False"
exp_69c5b3d8,2026-08-03T11:16:32,img_680aaa10a8,,,,,120,80,160,25,800,1.0,168.72,268.56,16476.5,MOTION_DETECTED,"frames_seen=89, suppressed=False"
exp_e751275d,2026-08-03T11:16:33,img_a14bb585e9,,,,,120,80,160,0,0,0,163.54,195.63,0,IMAGE_QUALITY_OK,snapshot
exp_15528aeb,2026-08-03T11:17:10,img_c1d7464fda,160,90,480,270,80,80,160,0,0,0,120.39,173.52,0,IMAGE_QUALITY_OK,snapshot
exp_9f293807,2026-08-03T11:17:11,img_a5ad7c646c,160,90,480,270,120,80,160,0,0,0,120.16,152.48,0,IMAGE_QUALITY_OK,snapshot
exp_033fe69d,2026-08-03T11:17:13,img_7a62842fa0,160,90,480,270,180,80,160,0,0,0,120.91,168.48,0,IMAGE_QUALITY_OK,snapshot
exp_de63cd99,2026-08-03T11:17:17,img_415b853299,160,90,480,270,180,50,100,0,0,0,121.47,217.58,0,IMAGE_QUALITY_OK,snapshot
exp_3da3a9ae,2026-08-03T11:17:19,img_ff5dca2d10,160,90,480,270,180,80,160,0,0,0,121.25,167.28,0,IMAGE_QUALITY_OK,snapshot
exp_394f1ce5,2026-08-03T11:17:20,img_7150760200,160,90,480,270,180,150,250,0,0,0,133.19,217.44,0,IMAGE_QUALITY_OK,snapshot
exp_6b1e551e,2026-08-03T11:25:02,img_a50cf2f522,160,90,480,270,120,50,160,0,0,0,115.69,453.25,0,IMAGE_QUALITY_OK,snapshot
exp_8242a74d,2026-08-03T11:25:12,img_d44f3aa137,160,90,480,270,120,50,160,0,0,0,126.4,720.82,0,IMAGE_QUALITY_OK,snapshot
exp_e32ed5a5,2026-08-03T11:25:34,img_06b4410dbd,160,90,480,270,120,50,100,0,0,0,104.02,79.88,0,BLURRY_IMAGE,snapshot
exp_e1f1ed3a,2026-08-03T11:25:56,img_d3fced0332,160,90,480,270,120,50,160,0,0,0,116.01,523.22,0,IMAGE_QUALITY_OK,snapshot
exp_a3da4e7f,2026-08-03T11:28:09,img_a2b5b0d6c0,100,100,400,202,120,50,160,0,0,0,113.09,211.67,0,IMAGE_QUALITY_OK,snapshot
exp_e0090094,2026-08-03T11:28:39,img_5db3dcf5b5,80,100,400,202,120,50,160,0,0,0,116.07,311.13,0,IMAGE_QUALITY_OK,snapshot
exp_41faae68,2026-08-03T11:28:44,img_25b8e02f8e,80,100,400,202,120,50,160,0,0,0,106.66,499.18,0,IMAGE_QUALITY_OK,snapshot
exp_9c83ca80,2026-08-03T11:29:14,img_e17d6a0f9d,160,90,101,270,120,50,160,0,0,0,145.31,332.67,0,IMAGE_QUALITY_OK,snapshot
exp_debf8cdf,2026-08-03T11:29:15,img_b841c326df,160,90,101,270,120,50,160,0,0,0,140.52,325.58,0,IMAGE_QUALITY_OK,snapshot
exp_4727a503,2026-08-03T11:29:25,img_6fadfe2c54,160,90,480,270,120,50,160,0,0,0,112.04,234.17,0,IMAGE_QUALITY_OK,snapshot
exp_844fd032,2026-08-03T11:30:00,img_62f05c7d45,160,80,480,400,120,50,160,0,0,0,133.49,263.87,0,IMAGE_QUALITY_OK,snapshot
exp_88a11a28,2026-08-03T11:30:12,img_7d9ff6f228,160,50,480,400,120,50,160,0,0,0,120.54,203.23,0,IMAGE_QUALITY_OK,snapshot
exp_582397ca,2026-08-03T11:30:25,img_670309894f,160,150,480,400,120,50,160,0,0,0,124.33,218.58,0,IMAGE_QUALITY_OK,snapshot
exp_c57cbb70,2026-08-03T11:30:42,img_35b532fee8,160,150,480,302,120,50,160,0,0,0,121.24,159.88,0,IMAGE_QUALITY_OK,snapshot
exp_b5b71292,2026-08-03T11:31:08,img_f8518559a6,160,150,480,302,120,50,100,0,0,0,91.63,36.23,0,BLURRY_IMAGE,snapshot
exp_008b5b70,2026-08-03T11:31:09,img_563759a069,160,150,480,302,120,80,160,0,0,0,135.33,105.14,0,IMAGE_QUALITY_OK,snapshot
exp_6203bd4a,2026-08-03T11:31:11,img_190b648846,160,150,480,302,120,150,250,0,0,0,115.4,54.81,0,BLURRY_IMAGE,snapshot
exp_de4bbe23,2026-08-03T11:31:26,img_5edec4a902,160,150,480,302,120,150,250,15,500,0.0,147.12,4.98,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=27, suppressed=False"
exp_26746232,2026-08-03T11:31:30,img_a059e23237,160,150,480,302,120,150,250,25,800,1.0,147.12,4.98,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=27, suppressed=False"
exp_42ea8f50,2026-08-03T11:31:34,img_4c142c8177,160,150,480,302,120,150,250,40,1500,5.0,160.86,293.43,12965.0,MOTION_DETECTED,"frames_seen=26, suppressed=False"
exp_e3cfc770,2026-08-03T11:32:55,img_07768cbab1,160,150,480,302,120,50,100,0,0,0,147.03,316.59,0,IMAGE_QUALITY_OK,snapshot
exp_17c02576,2026-08-03T11:32:56,img_4360512011,160,150,480,302,120,80,160,0,0,0,141.95,499.21,0,IMAGE_QUALITY_OK,snapshot
exp_c830ba2f,2026-08-03T11:32:58,img_76cb6d391a,160,150,480,302,120,150,250,0,0,0,134.96,281.66,0,IMAGE_QUALITY_OK,snapshot
exp_4a215d04,2026-08-03T11:33:04,img_27b4b87560,160,150,480,302,120,150,250,15,500,0.0,130.5,253.24,12415.0,MOTION_DETECTED,"frames_seen=27, suppressed=False"
exp_cbd744b8,2026-08-03T11:33:08,img_079a972710,160,150,480,302,120,150,250,25,800,1.0,112.73,132.94,24514.5,MOTION_DETECTED,"frames_seen=28, suppressed=False"
exp_b8ff8c5f,2026-08-03T11:33:12,img_3a7f0d8532,160,150,480,302,120,150,250,40,1500,5.0,118.91,184.72,22666.0,MOTION_SUPPRESSED_COOLDOWN,"frames_seen=28, suppressed=True"
exp_58df466f,2026-08-03T11:33:14,img_2c5e6866ec,160,150,480,302,80,150,250,0,0,0,113.81,392.78,0,IMAGE_QUALITY_OK,snapshot
exp_c580667d,2026-08-03T11:33:16,img_2200fbe4a7,160,150,480,302,120,150,250,0,0,0,111.06,433.79,0,IMAGE_QUALITY_OK,snapshot
exp_61205ddf,2026-08-03T11:33:17,img_4fc6234186,160,150,480,302,180,150,250,0,0,0,112.87,415.87,0,IMAGE_QUALITY_OK,snapshot
exp_0e47f2aa,2026-08-03T11:37:54,img_81077dc3dc,160,150,480,302,120,150,250,0,0,0,109.5,155.52,0,IMAGE_QUALITY_OK,snapshot
exp_05c64e1f,2026-08-03T15:08:06,img_e13729cab4,,,,,80,80,160,25,800,1.0,156.73,159.64,0,IMAGE_QUALITY_OK,threshold_sweep thresh=80
exp_489d7671,2026-08-03T15:08:06,img_fe7943decb,,,,,120,80,160,25,800,1.0,157.82,160.93,0,IMAGE_QUALITY_OK,threshold_sweep thresh=120
exp_4dd1c4ab,2026-08-03T15:08:06,img_b277626a9b,,,,,180,80,160,25,800,1.0,155.39,159.88,0,IMAGE_QUALITY_OK,threshold_sweep thresh=180
exp_43ece1bd,2026-08-03T15:08:06,img_18dce61f79,,,,,120,50,100,25,800,1.0,157.53,153.79,0,IMAGE_QUALITY_OK,canny_sweep 50/100
exp_cffcc2b9,2026-08-03T15:08:06,img_86dad05976,,,,,120,80,160,25,800,1.0,157.67,161.67,0,IMAGE_QUALITY_OK,canny_sweep 80/160
exp_9685a194,2026-08-03T15:08:06,img_ab125c7fa5,,,,,120,150,250,25,800,1.0,156.5,154.06,0,IMAGE_QUALITY_OK,canny_sweep 150/250
exp_7d864d24,2026-08-03T15:08:08,img_c6b3e79302,,,,,120,80,160,15,500,0,157.25,148.23,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=12, suppressed=False"
exp_465009f3,2026-08-03T15:08:09,img_ae00977625,,,,,120,80,160,25,800,1,157.25,148.23,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=12, suppressed=False"
exp_20461be2,2026-08-03T15:08:10,img_5385824594,,,,,120,80,160,40,1500,5,157.25,148.23,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=12, suppressed=False"
exp_35dcfe83,2026-08-03T15:08:36,img_2e2dd2b27d,,,,,80,80,160,25,800,1.0,156.73,159.64,0,IMAGE_QUALITY_OK,threshold_sweep thresh=80
exp_4df85e70,2026-08-03T15:08:36,img_1ce7f94ba1,,,,,120,80,160,25,800,1.0,157.82,160.93,0,IMAGE_QUALITY_OK,threshold_sweep thresh=120
exp_a109658c,2026-08-03T15:08:36,img_cedcd4ce46,,,,,180,80,160,25,800,1.0,155.39,159.88,0,IMAGE_QUALITY_OK,threshold_sweep thresh=180
exp_bc109d2a,2026-08-03T15:08:36,img_c5e0ded91c,,,,,120,50,100,25,800,1.0,157.53,153.79,0,IMAGE_QUALITY_OK,canny_sweep 50/100
exp_2a6762bc,2026-08-03T15:08:36,img_d2d19d7cff,,,,,120,80,160,25,800,1.0,157.67,161.67,0,IMAGE_QUALITY_OK,canny_sweep 80/160
exp_fad2fff7,2026-08-03T15:08:36,img_d057391fb7,,,,,120,150,250,25,800,1.0,156.5,154.06,0,IMAGE_QUALITY_OK,canny_sweep 150/250
exp_fa42cebe,2026-08-03T15:08:38,img_36b26359e4,,,,,120,80,160,15,500,0,157.35,148.06,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=13, suppressed=False"
exp_66ab3511,2026-08-03T15:08:39,img_3655bedce1,,,,,120,80,160,25,800,1,157.25,148.23,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=12, suppressed=False"
exp_51b545a1,2026-08-03T15:08:40,img_a2c1b4b551,,,,,120,80,160,40,1500,5,157.25,148.23,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=12, suppressed=False"
exp_ff71656e,2026-08-03T15:12:06,img_4304fa85e7,,,,,80,80,160,25,800,1.0,156.73,159.64,0,IMAGE_QUALITY_OK,threshold_sweep thresh=80
exp_72d0c5be,2026-08-03T15:12:06,img_e46d2df180,,,,,120,80,160,25,800,1.0,157.82,160.93,0,IMAGE_QUALITY_OK,threshold_sweep thresh=120
exp_d2b19b90,2026-08-03T15:12:06,img_3fb9708fe9,,,,,180,80,160,25,800,1.0,155.39,159.88,0,IMAGE_QUALITY_OK,threshold_sweep thresh=180
exp_057d32dd,2026-08-03T15:12:06,img_3eb87522a4,,,,,120,50,100,25,800,1.0,157.53,153.79,0,IMAGE_QUALITY_OK,canny_sweep 50/100
exp_494edf26,2026-08-03T15:12:06,img_90456ecf72,,,,,120,80,160,25,800,1.0,157.67,161.67,0,IMAGE_QUALITY_OK,canny_sweep 80/160
exp_7d957c53,2026-08-03T15:12:06,img_c5892b1e93,,,,,120,150,250,25,800,1.0,156.5,154.06,0,IMAGE_QUALITY_OK,canny_sweep 150/250
exp_9ffadbbc,2026-08-03T15:12:08,img_5b9b70631b,,,,,120,80,160,15,500,0,157.25,148.23,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=12, suppressed=False"
exp_22f78960,2026-08-03T15:12:09,img_b8927fb4e0,,,,,120,80,160,25,800,1,157.12,141.26,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=11, suppressed=False"
exp_932a1eea,2026-08-03T15:12:10,img_1c82d41eb2,,,,,120,80,160,40,1500,5,157.25,148.23,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=12, suppressed=False"
exp_dbb1c2f3,2026-08-03T15:51:07,img_b8134d3bae,,,,,120,80,160,0,0,0,131.07,313.17,0,IMAGE_QUALITY_OK,snapshot
exp_51051b9f,2026-08-03T15:51:39,img_0954747776,160,90,480,270,80,80,160,0,0,0,107.61,126.39,0,IMAGE_QUALITY_OK,snapshot
exp_6f3b8de4,2026-08-03T15:51:40,img_2ea15b249b,160,90,480,270,120,80,160,0,0,0,108.14,126.39,0,IMAGE_QUALITY_OK,snapshot
exp_63405954,2026-08-03T15:51:42,img_f6c965e8e0,160,90,480,270,120,50,100,0,0,0,0.0,3.29,0,LOW_LIGHT,snapshot
exp_9d1fbea9,2026-08-03T15:51:42,img_68afccc7a2,160,90,480,270,180,50,100,0,0,0,0.0,0.0,0,LOW_LIGHT,snapshot
exp_8299d093,2026-08-03T15:51:42,img_aa8733b010,160,90,480,270,180,80,160,0,0,0,155.86,1.36,0,BLURRY_IMAGE,snapshot
exp_9caf8050,2026-08-03T15:51:44,img_80d03ef7fa,160,90,480,270,180,150,250,0,0,0,104.06,133.64,0,IMAGE_QUALITY_OK,snapshot
exp_099e5cc8,2026-08-03T15:51:50,img_6e5ecdb117,160,90,480,270,180,150,250,15,500,0.0,156.66,3.07,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=25, suppressed=False"
exp_2a406ad2,2026-08-03T15:51:54,img_a2c545d67f,160,90,480,270,180,150,250,25,800,1.0,156.66,3.07,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=25, suppressed=False"
exp_c72b10ee,2026-08-03T15:51:58,img_70f6edbf72,160,90,480,270,180,150,250,40,1500,5.0,156.66,3.07,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=25, suppressed=False"
exp_ad10c8fe,2026-08-03T15:52:06,img_dfb28f7485,160,90,480,270,180,150,250,0,0,0,105.75,139.86,0,IMAGE_QUALITY_OK,snapshot
exp_abe10604,2026-08-03T15:52:15,img_e6363fabd3,160,90,480,270,180,150,250,15,500,0.0,156.66,3.07,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=25, suppressed=False"
exp_9a94c3fc,2026-08-03T15:52:18,img_93737d9025,160,90,480,270,180,150,250,15,500,0.0,156.99,2.9,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=24, suppressed=False"
exp_256c85c2,2026-08-03T15:52:19,img_8116659955,160,90,480,270,180,150,250,25,800,1.0,156.31,3.24,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=26, suppressed=False"
exp_f02adc44,2026-08-03T15:52:23,img_116ea2c48d,160,90,480,270,180,150,250,25,800,1.0,109.64,103.82,3878.0,MOTION_DETECTED,"frames_seen=24, suppressed=False"
exp_1d3e5d2b,2026-08-03T15:52:24,img_d18953329d,160,90,480,270,180,150,250,40,1500,5.0,156.66,3.07,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=25, suppressed=False"
exp_9680fb51,2026-08-03T15:52:27,img_7dc565a73e,160,90,480,270,180,150,250,40,1500,5.0,156.66,3.07,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=25, suppressed=False"
